raceId,driverId,constructorId,qualifying_position,starting_grid,race_finish_position,year,race_name,driver_name,nationality,constructor_name,position_change
29,7,5,10,10,10,2008,European Grand Prix,Sébastien Bourdais,French,Toro Rosso,0
29,6,3,11,11,15,2008,European Grand Prix,Kazuki Nakajima,Japanese,Williams,-4
29,4,4,12,12,20,2008,European Grand Prix,Fernando Alonso,Spanish,Renault,-8
29,10,7,13,13,7,2008,European Grand Prix,Timo Glock,German,Toyota,6
29,17,9,14,14,12,2008,European Grand Prix,Mark Webber,Australian,Red Bull,2
29,12,4,15,15,11,2008,European Grand Prix,Nelson Piquet Jr.,Brazilian,Renault,4
29,18,11,16,16,13,2008,European Grand Prix,Jenson Button,British,Honda,3
29,14,9,17,17,17,2008,European Grand Prix,David Coulthard,British,Red Bull,0
29,21,10,18,18,14,2008,European Grand Prix,Giancarlo Fisichella,Italian,Force India,4
29,22,11,19,19,16,2008,European Grand Prix,Rubens Barrichello,Brazilian,Honda,3
29,16,10,20,20,19,2008,European Grand Prix,Adrian Sutil,German,Force India,1
30,1,1,1,1,3,2008,Belgian Grand Prix,Lewis Hamilton,British,McLaren,-2
30,13,6,2,2,1,2008,Belgian Grand Prix,Felipe Massa,Brazilian,Ferrari,1
30,5,1,3,3,10,2008,Belgian Grand Prix,Heikki Kovalainen,Finnish,McLaren,-7
30,8,6,4,4,18,2008,Belgian Grand Prix,Kimi Räikkönen,Finnish,Ferrari,-14
30,2,2,5,5,2,2008,Belgian Grand Prix,Nick Heidfeld,German,BMW Sauber,3
30,4,4,6,6,4,2008,Belgian Grand Prix,Fernando Alonso,Spanish,Renault,2
30,17,9,7,7,8,2008,Belgian Grand Prix,Mark Webber,Australian,Red Bull,-1
30,9,2,8,8,6,2008,Belgian Grand Prix,Robert Kubica,Polish,BMW Sauber,2
30,7,5,9,9,7,2008,Belgian Grand Prix,Sébastien Bourdais,French,Toro Rosso,2
30,20,5,10,10,5,2008,Belgian Grand Prix,Sebastian Vettel,German,Toro Rosso,5
30,15,7,11,11,16,2008,Belgian Grand Prix,Jarno Trulli,Italian,Toyota,-5
30,12,4,12,12,20,2008,Belgian Grand Prix,Nelson Piquet Jr.,Brazilian,Renault,-8
30,10,7,13,13,9,2008,Belgian Grand Prix,Timo Glock,German,Toyota,4
30,14,9,14,14,11,2008,Belgian Grand Prix,David Coulthard,British,Red Bull,3
30,3,3,15,15,12,2008,Belgian Grand Prix,Nico Rosberg,German,Williams,3
30,22,11,16,16,19,2008,Belgian Grand Prix,Rubens Barrichello,Brazilian,Honda,-3
30,18,11,17,17,15,2008,Belgian Grand Prix,Jenson Button,British,Honda,2
30,16,10,18,18,13,2008,Belgian Grand Prix,Adrian Sutil,German,Force India,5
30,6,3,19,19,14,2008,Belgian Grand Prix,Kazuki Nakajima,Japanese,Williams,5
30,21,10,20,20,17,2008,Belgian Grand Prix,Giancarlo Fisichella,Italian,Force India,3
31,20,5,1,1,1,2008,Italian Grand Prix,Sebastian Vettel,German,Toro Rosso,0
31,5,1,2,2,2,2008,Italian Grand Prix,Heikki Kovalainen,Finnish,McLaren,0
31,17,9,3,3,8,2008,Italian Grand Prix,Mark Webber,Australian,Red Bull,-5
